id,name,job,department,gender
278,Melissa Taylor,Visual Effects Producer,Visual Effects,0
278,Jerry Gatlin,Stunt Coordinator,Crew,2
278,Brian 'Buzz' Buzzelli,Grip,Camera,0
278,Bill O'Leary,Gaffer,Lighting,0
278,Dick Hancock,Stunts,Crew,2
278,Kevin Haney,Makeup Artist,Costume & Make-Up,0
278,Philip Ivey,Key Hair Stylist,Costume & Make-Up,2
278,Tommy Morgan,Additional Soundtrack,Sound,0
278,Andy Harris,Cinematography,Crew,0
278,Rhonda Yeater,Art Department Assistant,Art,0
278,Jack Evans,Assistant Art Director,Art,0
278,Sebastian Milito,Construction Coordinator,Art,0
278,Dixwell Stillman,Construction Foreman,Art,0
278,Blair Gibeau,Painter,Art,0
278,Antoinette J. Gordon,Set Designer,Art,0
278,Todd Hatfield,Standby Painter,Art,0
278,Robin Brown,First Assistant Camera,Camera,0
278,Don Cerrone,Key Grip,Camera,0
278,Robert 'Bobby Z' Zajonc,Aerial Camera,Camera,2
278,Gerrit Dangremond,Steadicam Operator,Camera,0
278,Michael P. Weinstein,Still Photographer,Camera,0
278,Carol Buckler,Seamstress,Costume & Make-Up,0
278,Jack Hering,Set Dressing Artist,Costume & Make-Up,0
278,Paul Wells,Carpenter,Crew,0
278,Brian Boggs,Craft Service,Crew,0
278,Robert Conrad,Driver,Crew,0
278,Dan Goldwasser,Executive Music Producer,Crew,0
278,Hope A. Nielsen,Loader,Crew,0
278,Mario Simon,Picture Car Coordinator,Crew,0
278,Beth Hickman,Production Office Coordinator,Production,0
278,Alan Jacques,Projection,Crew,0
278,Earl F. Betts,Propmaker,Crew,0
278,Tom Shaw Jr.,Property Master,Art,0
278,Jesse E. Johnson,Set Production Assistant,Crew,0
278,Daniel W. Barringer,Stunts,Crew,0
278,Fred Culbertson,Transportation Captain,Crew,0
278,David Marder,Transportation Coordinator,Crew,0
278,David V. Lester,Unit Production Manager,Production,2
278,Ernie Malik,Unit Publicist,Crew,0
278,Van Scarboro,Video Assist Operator,Crew,0
278,Sioux Richards,Script Supervisor,Directing,0
278,Patricia A. Galvin,First Assistant Editor,Editing,0
278,Jeremy Knaster,Best Boy Electric,Lighting,0
278,Kurt Dale Hartman,Electrician,Lighting,0
278,Rex Buckingham,Rigging Grip,Lighting,0
278,Kokayi Ampah,Location Manager,Production,0
278,Ramona Sánchez-Waggoner,Production Accountant,Production,0
278,Petra Bach,ADR Supervisor,Sound,0
278,Marvin E. Lewis,Boom Operator,Sound,0
278,Lori Martino,Assistant Sound Editor,Sound,0
278,Kevin Bartnof,Foley,Sound,0
278,Bill Bernstein,Music Editor,Sound,2
278,Thomas Pasatieri,Orchestrator,Sound,2
278,Willie D. Burton,Production Sound Mixer,Sound,2
278,Dennis S. Sands,Scoring Mixer,Sound,2
278,Bruce Bell,Sound Editor,Sound,0
278,John Stacy,Supervising Sound Editor,Sound,2
278,Pete von Sholly,Storyboard,Writing,0
278,Dennis Baker,Thanks,Crew,0
13,Robert Zemeckis,Director,Directing,2
13,Wendy Finerman,Producer,Production,1
13,Steve Tisch,Producer,Production,2
13,Steve Starkey,Producer,Production,2
13,Don Burgess,Director of Photography,Camera,2
13,Alan Silvestri,Original Music Composer,Sound,2
13,Arthur Schmidt,Editor,Editing,2
13,Eric Roth,Screenplay,Writing,2
13,Winston Groom,Novel,Writing,2
13,Ellen Lewis,Casting,Production,1
13,Joanna Johnston,Costume Design,Costume & Make-Up,1
13,Rick Carter,Production Design,Art,2
13,Leslie McDonald,Art Direction,Art,1
13,William James Teegarden,Art Direction,Art,2
13,Nancy Haigh,Set Decoration,Art,1
13,Hazel Catmull,Hairstylist,Costume & Make-Up,0
13,William A. Kohout,Hairstylist,Costume & Make-Up,0
13,Susan Schuler-Page,Hairstylist,Costume & Make-Up,0
13,Jay Cannistraci,Makeup Artist,Costume & Make-Up,0
13,Rick Sharp,Makeup Artist,Costume & Make-Up,0
13,Kacy Magedman,Art Department Coordinator,Art,0
13,Wendy Richardson,Art Department Coordinator,Art,0
13,Steve Arnold,Assistant Art Director,Art,2
13,Linda Berger,Assistant Art Director,Art,1
13,Tony Fanning,Assistant Art Director,Art,2
13,Jeff Passanante,Construction Coordinator,Art,0
13,Robin L. Miller,Property Master,Crew,2
13,Stephen I. Erdberg,Property Master,Crew,0
13,Daniel J. Gillooly,Greensman,Art,0
13,Hugo Herrera,Greensman,Art,0
13,Kevin Mangan,Greensman,Art,0
13,Dan Ondrejko,Greensman,Art,0
13,Paige Augustine,Leadman,Art,0
13,Claire Gaul,Leadman,Art,0
13,Robert Greenfield,Leadman,Art,2
13,Chris L. Spellman,Leadman,Art,2
13,James C. Feng,Set Designer,Art,0
13,Erin Kemp,Set Designer,Art,0
13,Elizabeth Lapp,Set Designer,Art,0
13,Lauren E. Polizzi,Set Designer,Art,1
13,Sue Fox,ADR & Dubbing,Sound,0
13,Tom Barwick,Foley,Sound,0
13,Dennie Thorpe,Foley,Sound,0
13,Claire Sanfilippo,Dialogue Editor,Editing,0
13,Dianna Stirpe,Dialogue Editor,Editing,0
13,Ewa Sztompke,Dialogue Editor,Editing,0
13,E. Larry Oatfield,Sound Effects Editor,Sound,0
13,Robert Shoup,Sound Effects Editor,Sound,2
13,Dennis S. Sands,Sound Re-Recording Mixer,Sound,2
13,Randy Thom,Sound Re-Recording Mixer,Sound,0
13,Gloria S. Borders,Supervising Sound Editor,Sound,0
13,George Murphy,CG Supervisor,Crew,0
13,Stephen Rosenbaum,CG Supervisor,Crew,0
13,Doug Chiang,Visual Effects Art Director,Crew,2
13,Debbie Denise,Visual Effects Producer,Visual Effects,0
13,Debbie Denise,Visual Effects Editor,Crew,0
13,Michael McGovern,Visual Effects Editor,Crew,0
13,Ken Ralston,Visual Effects Supervisor,Visual Effects,0
13,Bud Davis,Stunt Coordinator,Crew,2
13,David M. Dunlap,Second Unit Cinematographer,Crew,2
13,Chris Squires,Camera Operator,Camera,0
13,Phillip V. Caruso,Still Photographer,Camera,2
13,Dan Bronson,Costume Supervisor,Costume & Make-Up,0
13,Pamela Wise,Costume Supervisor,Costume & Make-Up,0
13,Patricia Bercsi,Set Costumer,Costume & Make-Up,0
13,Rudolph Garcia,Set Costumer,Costume & Make-Up,0
13,Stephen P. Shubin,Set Costumer,Costume & Make-Up,0
13,Carin-Anne Strohmaier,First Assistant Editor,Editing,0
13,Kenneth Karman,Music Editor,Sound,2
13,Joel Marrow,Transportation Coordinator,Crew,0
13,Leslie Cook,Choreographer,Crew,0
13,Peggy Pridemore,Location Manager,Production,0
13,Amy Ness,Location Manager,Production,0
13,Mary Morgan,Location Manager,Production,1
13,Jessica Drake,Dialect Coach,Crew,0
13,Jane E. Russell,Unit Publicist,Crew,0
13,Charles Newirth,Co-Producer,Production,0
13,Leigh French,ADR & Dubbing,Sound,0
13,Joe Montenegro,Special Effects,Crew,2
13,Bobby Mancuso,Additional Photography,Camera,0
13,William B. Kaplan,Production Sound Mixer,Sound,0
13,Greg Maloney,Visual Effects,Visual Effects,0
13,Judith A. Cory,Hair Designer,Costume & Make-Up,0
13,Allen Hall,Special Effects Supervisor,Visual Effects,0
13,Jeremiah O'Driscoll,Assistant Editor,Editing,0
13,Steven J. Boyd,Post Production Supervisor,Crew,0
13,Rick Porras,Post Production Supervisor,Crew,0
13,Bruce Moriarty,First Assistant Director,Directing,2
13,Lindsey Buckingham,Thanks,Crew,0
13,Robert J. Groden,Thanks,Crew,0
13,Susan Malerstein,Script Supervisor,Directing,0
13,Craig Lyman,Makeup Artist,Costume & Make-Up,0
13,Cynthia Quan,Production Accountant,Production,0
13,Barry Spencer,Construction Foreman,Art,0
13,Brett Haas,Location Scout,Art,0
13,Samuel Ray Jablonski,Painter,Art,0
13,Stefan Dechant,Production Illustrator,Art,0
13,Chris Johnson,Loader,Crew,0
13,John Gazdik,First Assistant Camera,Camera,0
13,Ismael Araujo Jr.,Grip,Camera,2
13,Jessica Fasman,Assistant Costume Designer,Costume & Make-Up,0
13,Hallie D'Amore,Makeup Designer,Costume & Make-Up,0
13,Alleene C. Keith,Seamstress,Costume & Make-Up,0
13,William Alford,Set Dressing Artist,Costume & Make-Up,0
13,Scott Mobley,Carpenter,Crew,0
13,Amy Panzer,Craft Service,Crew,0
13,Jim DePue,Driver,Crew,2
13,Joel Sill,Executive Music Producer,Crew,2
13,Tyler C. Daum,Picture Car Coordinator,Crew,0
13,Timothy Greenwood,Projection,Crew,0
13,Keith Campbell,Stunts,Crew,2
13,Randy Cantor,Transportation Captain,Crew,0
13,Wayne Roberts,Transportation Co-Captain,Crew,0
13,Charles Newirth,Unit Production Manager,Production,0
13,Joey Box,Utility Stunts,Crew,2
13,Bob Kaiser,Color Timer,Editing,0
13,Sam Taybi,Best Boy Electric,Lighting,0
13,Dan Cornwall,Electrician,Lighting,0
13,Andy Ryan,Gaffer,Lighting,0
13,David R. Christensen,Lighting Technician,Lighting,2
13,E. Scott Mayhugh,Rigging Grip,Lighting,0
13,David Brymer,Casting Associate,Production,0
13,Michael Tadross,Executive In Charge Of Production,Production,2
13,Debra James,Production Coordinator,Production,1
13,Earl Sampson,Boom Operator,Sound,0
13,David Franklin Bergad,Assistant Sound Editor,Sound,0
13,William Ross,Orchestrator,Sound,2
13,Jonathan Gaynor,Sound Mixer,Sound,0
13,Anne Calanchini,Visual Effects Coordinator,Visual Effects,0
13,Erik TIemens,Storyboard,Writing,0
13,Christiane Steffen,Vocal Coach,Sound,0
8587,Mark A. Mangini,Supervising Sound Editor,Sound,2
8587,Hans Zimmer,Original Music Composer,Sound,2
8587,Richard L. Anderson,Supervising Sound Editor,Sound,0
8587,John Carnochan,Supervising Film Editor,Editing,2
8587,Jonathan Roberts,Screenplay,Writing,2
8587,Roger Allers,Director,Directing,2
8587,Elton John,Songs,Sound,2
8587,Rob Minkoff,Director,Directing,2
8587,Linda Woolverton,Screenplay,Writing,1
8587,Tom Finan,Supervising Film Editor,Editing,2
8587,Irene Mecchi,Screenplay,Writing,1
8587,Ivan Bilancio,Editor,Editing,2
8587,Andreas Deja,Animation Supervisor,Visual Effects,0
