id,type,name,character,order,job,department,gender
807,crew,Becky Ochoa,,,Hair Designer,Costume & Make-Up,0
807,crew,Michael A. Chavez,,,Camera Operator,Camera,2
807,crew,Peter Sorel,,,Still Photographer,Camera,2
807,crew,Dale Myrand,,,Steadicam Operator,Camera,0
807,crew,Chuck Picerni Jr.,,,Stunt Coordinator,Crew,2
807,crew,Michael Hancock,,,Makeup Artist,Costume & Make-Up,0
807,crew,Jennifer McNamara,,,Casting Assistant,Production,1
807,crew,Jan O'Connell,,,Art Department Coordinator,Art,0
807,crew,Yvan Lucas,,,Color Timer,Editing,0
807,crew,Angie Rubin,,,Music Editor,Sound,1
807,crew,Willie D. Burton,,,Production Sound Mixer,Sound,2
807,crew,John Lissauer,,,Orchestrator,Sound,0
807,crew,Jack Keller,,,Sound Recordist,Crew,2
807,crew,Robert S. Mendelsohn,,,Unit Production Manager,Production,0
807,crew,Paul Hargrave,,,Location Manager,Production,0
807,crew,Brad Edmiston,,,First Assistant Camera,Camera,0
807,crew,Greg Kimble,,,Visual Effects Supervisor,Visual Effects,0
807,crew,Robert C. Lusted,,,First Assistant Editor,Editing,0
807,crew,Francesca Dodd,,,Dialogue Editor,Editing,0
807,crew,Kim B. Christensen,,,Sound Effects Editor,Sound,0
807,crew,Jennifer L. Ware,,,Sound Effects Editor,Sound,0
807,crew,Rick Hart,,,Sound Re-Recording Mixer,Sound,0
807,crew,David Behle,,,Sound Recordist,Crew,0
807,crew,Bert Dovo,,,Orchestrator,Sound,0
807,crew,Sanford Panitch,,,Co-Producer,Production,0
807,crew,Larry J. Aube,,,Rigging Grip,Lighting,0
807,crew,George Alden,,,Driver,Crew,0
807,crew,Andrea Gargano,,,Color Timer,Editing,0
807,crew,Philip Rogers,,,Sound Recordist,Crew,0
11,cast,Mark Hamill,Luke Skywalker,0,,,2
11,cast,Harrison Ford,Han Solo,1,,,2
11,cast,Carrie Fisher,Princess Leia Organa,2,,,1
11,cast,Peter Cushing,Grand Moff Tarkin,3,,,2
11,cast,Alec Guinness,"Obi-Wan ""Ben"" Kenobi",4,,,2
11,cast,Anthony Daniels,See Threepio (C-3PO),5,,,2
11,cast,Kenny Baker,Artoo-Detoo (R2-D2),6,,,2
11,cast,Peter Mayhew,Chewbacca,7,,,2
11,cast,David Prowse,Darth Vader,8,,,2
11,cast,James Earl Jones,Voice of Darth Vader (voice),9,,,0
11,cast,Phil Brown,Uncle Owen,10,,,2
