id,name,character,order,gender
278,John R. Woodward,Bullhorn Tower Guard,32,0
278,Rohn Thomas,Bugle Editor,33,0
278,Brian Brophy,1967 Parole Hearings Man,34,2
278,Ken Magee,Ned Grimes,35,0
278,James Babson,Con (uncredited),36,2
278,Fred Culbertson,Police Officer (uncredited),37,0
278,Alonzo F. Jones,Inmate (uncredited),38,0
278,Actor Sergio Kato,Inmate II (uncredited),39,2
278,Philip Ettington,Frank (uncredited),40,2
278,Neil Summers,Pete,41,2
13,Tom Hanks,Forrest Gump,0,2
13,Robin Wright,Jenny Curran,1,1
13,Gary Sinise,Lt. Dan Taylor,2,2
13,Mykelti Williamson,Pvt. Benjamin Buford 'Bubba' Blue,3,2
13,Sally Field,Mrs. Gump,4,1
13,Michael Conner Humphreys,Young Forrest Gump,5,2
13,Hanna Hall,Young Jenny Curran,6,1
13,Haley Joel Osment,Forrest Gump Jr.,7,2
13,Siobhan Fallon,School Bus Driver,8,1
13,Afemo Omilami,Drill Sergeant,9,2
13,Peter Dobson,Young Elvis Presley,10,2
13,Sonny Shroyer,College Football Coach,11,2
13,George Kelly,Barber,12,2
13,Sam Anderson,Principal,13,2
13,Margo Moorer,Louise,14,0
13,Christopher Jones,Boy with cross,15,2
13,Kevin Mangan,Jenny's Father,16,0
13,Brett Rice,High School Football Coach,17,2
13,Daniel C. Striepeke,Recruiter,18,2
13,David Brisbin,Newscaster,19,0
13,Kirk Ward,Earl,20,2
13,Marlena Smalls,Bubba's Mother,21,0
13,Kitty K. Green,Bubba's Great Grandmother,22,1
13,Mark Matheisen,Jenny's date,23,2
13,Al Harrington,Local Anchor #1,24,2
13,Jed Gillin,President Kennedy (voice),25,0
13,Don Fischer,Army Recruiter,26,2
13,Matt Wallace,Barracks Recruit,27,0
13,Mike Jolly,Club patron,28,2
13,Michael Kemmerling,Club patron,29,2
13,John Voldstad,Club patron,30,0
13,Daniel J. Gillooly,Helicopter gunman,31,0
13,Michael Burgess,Cleveland,32,0
13,Steven Griffith,Tex,33,0
13,Michael McFall,Army Hospital Male Nurse,34,2
13,Michael McFall,Wounded soldier,35,2
13,Byron Minns,Wounded soldier,36,2
13,Stephen Bridgewater,Hospital Officer,37,2
13,John William Galt,President Johnson (voice),38,2
13,Isabel Rose,Isabel,39,0
13,Richard D'Alessandro,Abbie Hoffman,40,0
13,Michael Jace,Black Panther,41,2
13,Geoffrey Blake,Wesley,42,2
13,Vanessa Roth,Hollywood Boulevard Girlfriend,43,1
13,Dick Cavett,Dick Cavett,44,2
13,Tiffany Salerno,Carla,45,0
13,Tiffany Salerno,Lenore,46,0
13,Joe Alaskey,President Nixon (voice),47,2
